Source;Target;Value;GEO;Year;Tag
Total Coal Production;Energy Production;1490;Canada;2008;Super-Sankey
Energy Use;Agriculture;244;Canada;2008;Super-Sankey
Energy Use;Commercial;935;Canada;2008;Super-Sankey
Total Energy Inputs;Energy Exports;10377;Canada;2008;Super-Sankey
Energy Imports;Total Energy Inputs;3849;Canada;2008;Super-Sankey
Total Energy Inputs;To Other Provinces;0;Canada;2008;Super-Sankey
Total Use;Non-energy use;991;Canada;2008;Super-Sankey
Energy Use;Producer consumption;1278;Canada;2008;Super-Sankey
Energy Use;Public administration;127;Canada;2008;Super-Sankey
Energy Use;Residential;1401;Canada;2008;Super-Sankey
Stocks;Total Energy Inputs;296;Canada;2008;Super-Sankey
Energy Use;Industrial;2371;Canada;2008;Super-Sankey
Energy Use;Transportation;2592;Canada;2008;Super-Sankey
Crude Oil Production;Energy Production;53;Manitoba;2008;Super-Sankey
NGL's Production;Energy Production;0;Manitoba;2008;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;126;Manitoba;2008;Super-Sankey
Energy Use;Agriculture;24;Manitoba;2008;Super-Sankey
Energy Use;Commercial;44;Manitoba;2008;Super-Sankey
Total Energy Inputs;Energy Exports;1;Manitoba;2008;Super-Sankey
Energy Imports;Total Energy Inputs;1;Manitoba;2008;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Manitoba;2008;Super-Sankey
Total Use;Non-energy use;1;Manitoba;2008;Super-Sankey
Energy Use;Producer consumption;1;Manitoba;2008;Super-Sankey
Energy Use;Public administration;5;Manitoba;2008;Super-Sankey
Energy Use;Residential;49;Manitoba;2008;Super-Sankey
Total Energy Inputs;Stocks;1;Manitoba;2008;Super-Sankey
Energy Use;Industrial;62;Manitoba;2008;Super-Sankey
Energy Use;Transportation;82;Manitoba;2008;Super-Sankey
Natural Gas Production;Energy Production;10;New Brunswick;2008;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;17;New Brunswick;2008;Super-Sankey
Total Coal Production;Energy Production;2;New Brunswick;2008;Super-Sankey
Energy Use;Agriculture;3;New Brunswick;2008;Super-Sankey
Energy Use;Commercial;20;New Brunswick;2008;Super-Sankey
Total Energy Inputs;Energy Exports;1;New Brunswick;2008;Super-Sankey
Energy Imports;Total Energy Inputs;1;New Brunswick;2008;Super-Sankey
From Other Provinces;Total Energy Inputs;1;New Brunswick;2008;Super-Sankey
Total Use;Non-energy use;1;New Brunswick;2008;Super-Sankey
Energy Use;Producer consumption;1;New Brunswick;2008;Super-Sankey
Energy Use;Public administration;6;New Brunswick;2008;Super-Sankey
Energy Use;Residential;30;New Brunswick;2008;Super-Sankey
Total Energy Inputs;Stocks;1;New Brunswick;2008;Super-Sankey
Energy Use;Industrial;47;New Brunswick;2008;Super-Sankey
Energy Use;Transportation;58;New Brunswick;2008;Super-Sankey
Crude Oil Production;Energy Production;1;Newfoundland and Labrador;2008;Super-Sankey
Natural Gas Production;Energy Production;25;Newfoundland and Labrador;2008;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;150;Newfoundland and Labrador;2008;Super-Sankey
Energy Use;Agriculture;0;Newfoundland and Labrador;2008;Super-Sankey
Energy Use;Commercial;13;Newfoundland and Labrador;2008;Super-Sankey
Total Energy Inputs;Energy Exports;1;Newfoundland and Labrador;2008;Super-Sankey
Energy Imports;Total Energy Inputs;1;Newfoundland and Labrador;2008;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Newfoundland and Labrador;2008;Super-Sankey
Total Use;Non-energy use;1;Newfoundland and Labrador;2008;Super-Sankey
Energy Use;Producer consumption;1;Newfoundland and Labrador;2008;Super-Sankey
Energy Use;Public administration;7;Newfoundland and Labrador;2008;Super-Sankey
Energy Use;Residential;20;Newfoundland and Labrador;2008;Super-Sankey
Total Energy Inputs;Stocks;1;Newfoundland and Labrador;2008;Super-Sankey
Energy Use;Industrial;33;Newfoundland and Labrador;2008;Super-Sankey
Energy Use;Transportation;51;Newfoundland and Labrador;2008;Super-Sankey
Crude Oil Production;Energy Production;40;Northwest Territories;2008;Super-Sankey
Natural Gas Production;Energy Production;8;Northwest Territories;2008;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;1;Northwest Territories;2008;Super-Sankey
Energy Use;Agriculture;1;Northwest Territories;2008;Super-Sankey
Energy Use;Commercial;3;Northwest Territories;2008;Super-Sankey
Energy Imports;Total Energy Inputs;1;Northwest Territories;2008;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Northwest Territories;2008;Super-Sankey
Total Use;Non-energy use;1;Northwest Territories;2008;Super-Sankey
Energy Use;Producer consumption;1;Northwest Territories;2008;Super-Sankey
Energy Use;Public administration;1;Northwest Territories;2008;Super-Sankey
Energy Use;Residential;2;Northwest Territories;2008;Super-Sankey
Total Energy Inputs;Stocks;1;Northwest Territories;2008;Super-Sankey
Energy Use;Industrial;9;Northwest Territories;2008;Super-Sankey
Energy Use;Transportation;4;Northwest Territories;2008;Super-Sankey
Crude Oil Production;Energy Production;1;Nova Scotia;2008;Super-Sankey
NGL's Production;Energy Production;11;Nova Scotia;2008;Super-Sankey
Natural Gas Production;Energy Production;174;Nova Scotia;2008;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;5;Nova Scotia;2008;Super-Sankey
Total Coal Production;Energy Production;0;Nova Scotia;2008;Super-Sankey
Energy Use;Agriculture;4;Nova Scotia;2008;Super-Sankey
Energy Use;Commercial;22;Nova Scotia;2008;Super-Sankey
Total Energy Inputs;Energy Exports;1;Nova Scotia;2008;Super-Sankey
Energy Imports;Total Energy Inputs;1;Nova Scotia;2008;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Nova Scotia;2008;Super-Sankey
Total Use;Non-energy use;1;Nova Scotia;2008;Super-Sankey
Energy Use;Producer consumption;1;Nova Scotia;2008;Super-Sankey
Energy Use;Public administration;8;Nova Scotia;2008;Super-Sankey
Energy Use;Residential;37;Nova Scotia;2008;Super-Sankey
Total Energy Inputs;Stocks;1;Nova Scotia;2008;Super-Sankey
Energy Use;Industrial;28;Nova Scotia;2008;Super-Sankey
Energy Use;Transportation;70;Nova Scotia;2008;Super-Sankey
Energy Use;Agriculture;0;Nunavut;2008;Super-Sankey
Energy Use;Commercial;1;Nunavut;2008;Super-Sankey
Total Energy Inputs;Energy Exports;1;Nunavut;2008;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Nunavut;2008;Super-Sankey
Total Use;Non-energy use;0;Nunavut;2008;Super-Sankey
Energy Use;Public administration;0;Nunavut;2008;Super-Sankey
Energy Use;Residential;0;Nunavut;2008;Super-Sankey
Energy Use;Industrial;2;Nunavut;2008;Super-Sankey
Energy Use;Transportation;2;Nunavut;2008;Super-Sankey
Crude Oil Production;Energy Production;4;Ontario;2008;Super-Sankey
NGL's Production;Energy Production;159;Ontario;2008;Super-Sankey
Natural Gas Production;Energy Production;7;Ontario;2008;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;455;Ontario;2008;Super-Sankey
Energy Use;Agriculture;52;Ontario;2008;Super-Sankey
Energy Use;Commercial;373;Ontario;2008;Super-Sankey
Total Energy Inputs;Energy Exports;1133;Ontario;2008;Super-Sankey
Energy Imports;Total Energy Inputs;1335;Ontario;2008;Super-Sankey
From Other Provinces;Total Energy Inputs;1922;Ontario;2008;Super-Sankey
Total Use;Non-energy use;286;Ontario;2008;Super-Sankey
Energy Use;Producer consumption;145;Ontario;2008;Super-Sankey
Energy Use;Public administration;25;Ontario;2008;Super-Sankey
Energy Use;Residential;559;Ontario;2008;Super-Sankey
Stocks;Total Energy Inputs;303;Ontario;2008;Super-Sankey
Energy Use;Industrial;663;Ontario;2008;Super-Sankey
Energy Use;Transportation;852;Ontario;2008;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;1;Prince Edward Island;2008;Super-Sankey
Energy Use;Agriculture;2;Prince Edward Island;2008;Super-Sankey
Energy Use;Commercial;2;Prince Edward Island;2008;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Prince Edward Island;2008;Super-Sankey
Total Use;Non-energy use;1;Prince Edward Island;2008;Super-Sankey
Energy Use;Producer consumption;1;Prince Edward Island;2008;Super-Sankey
Energy Use;Public administration;1;Prince Edward Island;2008;Super-Sankey
Energy Use;Residential;5;Prince Edward Island;2008;Super-Sankey
Total Energy Inputs;Stocks;1;Prince Edward Island;2008;Super-Sankey
Energy Use;Industrial;3;Prince Edward Island;2008;Super-Sankey
Energy Use;Transportation;10;Prince Edward Island;2008;Super-Sankey
Natural Gas Production;Energy Production;1;Quebec;2008;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;691;Quebec;2008;Super-Sankey
Energy Use;Agriculture;32;Quebec;2008;Super-Sankey
Energy Use;Commercial;142;Quebec;2008;Super-Sankey
Total Energy Inputs;Energy Exports;283;Quebec;2008;Super-Sankey
Energy Imports;Total Energy Inputs;1197;Quebec;2008;Super-Sankey
From Other Provinces;Total Energy Inputs;195;Quebec;2008;Super-Sankey
Total Use;Non-energy use;114;Quebec;2008;Super-Sankey
Energy Use;Producer consumption;129;Quebec;2008;Super-Sankey
Energy Use;Public administration;38;Quebec;2008;Super-Sankey
Energy Use;Residential;289;Quebec;2008;Super-Sankey
Stocks;Total Energy Inputs;2;Quebec;2008;Super-Sankey
Energy Use;Industrial;529;Quebec;2008;Super-Sankey
Energy Use;Transportation;502;Quebec;2008;Super-Sankey
Crude Oil Production;Energy Production;998;Saskatchewan;2008;Super-Sankey
NGL's Production;Energy Production;2;Saskatchewan;2008;Super-Sankey
Natural Gas Production;Energy Production;312;Saskatchewan;2008;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;17;Saskatchewan;2008;Super-Sankey
Total Coal Production;Energy Production;149;Saskatchewan;2008;Super-Sankey
Energy Use;Agriculture;54;Saskatchewan;2008;Super-Sankey
Energy Use;Commercial;46;Saskatchewan;2008;Super-Sankey
Total Energy Inputs;Energy Exports;1;Saskatchewan;2008;Super-Sankey
Energy Imports;Total Energy Inputs;1;Saskatchewan;2008;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Saskatchewan;2008;Super-Sankey
Total Use;Non-energy use;1;Saskatchewan;2008;Super-Sankey
Energy Use;Producer consumption;1;Saskatchewan;2008;Super-Sankey
Energy Use;Public administration;7;Saskatchewan;2008;Super-Sankey
Energy Use;Residential;45;Saskatchewan;2008;Super-Sankey
Total Energy Inputs;Stocks;1;Saskatchewan;2008;Super-Sankey
Energy Use;Industrial;110;Saskatchewan;2008;Super-Sankey
Energy Use;Transportation;164;Saskatchewan;2008;Super-Sankey
Natural Gas Production;Energy Production;2;Yukon;2008;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;1;Yukon;2008;Super-Sankey
Energy Use;Agriculture;0;Yukon;2008;Super-Sankey
Energy Use;Commercial;1;Yukon;2008;Super-Sankey
Total Energy Inputs;Energy Exports;1;Yukon;2008;Super-Sankey
Energy Imports;Total Energy Inputs;1;Yukon;2008;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Yukon;2008;Super-Sankey
Total Use;Non-energy use;1;Yukon;2008;Super-Sankey
Energy Use;Producer consumption;1;Yukon;2008;Super-Sankey
Energy Use;Public administration;1;Yukon;2008;Super-Sankey
Energy Use;Residential;1;Yukon;2008;Super-Sankey
Total Energy Inputs;Stocks;1;Yukon;2008;Super-Sankey
Energy Use;Industrial;1;Yukon;2008;Super-Sankey
Energy Use;Transportation;4;Yukon;2008;Super-Sankey
Crude Oil Production;Energy Production;40;Yukon, Northwest Territories and Nunavut;2008;Super-Sankey
NGL's Production;Energy Production;0;Yukon, Northwest Territories and Nunavut;2008;Super-Sankey
Natural Gas Production;Energy Production;10;Yukon, Northwest Territories and Nunavut;2008;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;2;Yukon, Northwest Territories and Nunavut;2008;Super-Sankey
Energy Use;Agriculture;1;Yukon, Northwest Territories and Nunavut;2008;Super-Sankey
Energy Use;Commercial;5;Yukon, Northwest Territories and Nunavut;2008;Super-Sankey
Total Energy Inputs;Energy Exports;1;Yukon, Northwest Territories and Nunavut;2008;Super-Sankey
Energy Imports;Total Energy Inputs;1;Yukon, Northwest Territories and Nunavut;2008;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Yukon, Northwest Territories and Nunavut;2008;Super-Sankey
Total Use;Non-energy use;1;Yukon, Northwest Territories and Nunavut;2008;Super-Sankey
Energy Use;Producer consumption;1;Yukon, Northwest Territories and Nunavut;2008;Super-Sankey
Energy Use;Public administration;2;Yukon, Northwest Territories and Nunavut;2008;Super-Sankey
Energy Use;Residential;3;Yukon, Northwest Territories and Nunavut;2008;Super-Sankey
Total Energy Inputs;Stocks;1;Yukon, Northwest Territories and Nunavut;2008;Super-Sankey
Energy Use;Industrial;11;Yukon, Northwest Territories and Nunavut;2008;Super-Sankey
Energy Use;Transportation;11;Yukon, Northwest Territories and Nunavut;2008;Super-Sankey
Crude Oil Production;Energy Production;4380;Alberta;2009;Super-Sankey
NGL's Production;Energy Production;444;Alberta;2009;Super-Sankey
Natural Gas Production;Energy Production;4600;Alberta;2009;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;11;Alberta;2009;Super-Sankey
Total Coal Production;Energy Production;659;Alberta;2009;Super-Sankey
Energy Use;Agriculture;42;Alberta;2009;Super-Sankey
Energy Use;Commercial;171;Alberta;2009;Super-Sankey
Total Energy Inputs;Energy Exports;3335;Alberta;2009;Super-Sankey
Energy Imports;Total Energy Inputs;21;Alberta;2009;Super-Sankey
Total Energy Inputs;To Other Provinces;4030;Alberta;2009;Super-Sankey
Total Use;Non-energy use;464;Alberta;2009;Super-Sankey
Energy Use;Producer consumption;665;Alberta;2009;Super-Sankey
Energy Use;Public administration;14;Alberta;2009;Super-Sankey
Energy Use;Residential;206;Alberta;2009;Super-Sankey
Stocks;Total Energy Inputs;5;Alberta;2009;Super-Sankey
Energy Use;Industrial;693;Alberta;2009;Super-Sankey
Energy Use;Transportation;406;Alberta;2009;Super-Sankey
Crude Oil Production;Energy Production;627;Atlantic provinces;2009;Super-Sankey
NGL's Production;Energy Production;11;Atlantic provinces;2009;Super-Sankey
Natural Gas Production;Energy Production;168;Atlantic provinces;2009;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;150;Atlantic provinces;2009;Super-Sankey
Total Coal Production;Energy Production;4;Atlantic provinces;2009;Super-Sankey
Energy Use;Agriculture;9;Atlantic provinces;2009;Super-Sankey
Energy Use;Commercial;49;Atlantic provinces;2009;Super-Sankey
Total Energy Inputs;Energy Exports;1144;Atlantic provinces;2009;Super-Sankey
Energy Imports;Total Energy Inputs;1090;Atlantic provinces;2009;Super-Sankey
Total Energy Inputs;To Other Provinces;178;Atlantic provinces;2009;Super-Sankey
Total Use;Non-energy use;32;Atlantic provinces;2009;Super-Sankey
Energy Use;Producer consumption;118;Atlantic provinces;2009;Super-Sankey
Energy Use;Public administration;20;Atlantic provinces;2009;Super-Sankey
Energy Use;Residential;92;Atlantic provinces;2009;Super-Sankey
Stocks;Total Energy Inputs;1;Atlantic provinces;2009;Super-Sankey
Energy Use;Industrial;98;Atlantic provinces;2009;Super-Sankey
Energy Use;Transportation;184;Atlantic provinces;2009;Super-Sankey
Crude Oil Production;Energy Production;76;British Columbia;2009;Super-Sankey
NGL's Production;Energy Production;37;British Columbia;2009;Super-Sankey
Natural Gas Production;Energy Production;1154;British Columbia;2009;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;203;British Columbia;2009;Super-Sankey
Total Coal Production;Energy Production;566;British Columbia;2009;Super-Sankey
Energy Use;Agriculture;12;British Columbia;2009;Super-Sankey
Energy Use;Commercial;90;British Columbia;2009;Super-Sankey
Total Energy Inputs;Energy Exports;1;British Columbia;2009;Super-Sankey
Energy Imports;Total Energy Inputs;1;British Columbia;2009;Super-Sankey
From Other Provinces;Total Energy Inputs;1;British Columbia;2009;Super-Sankey
Total Use;Non-energy use;1;British Columbia;2009;Super-Sankey
Energy Use;Producer consumption;1;British Columbia;2009;Super-Sankey
Energy Use;Public administration;12;British Columbia;2009;Super-Sankey
Energy Use;Residential;154;British Columbia;2009;Super-Sankey
Total Energy Inputs;Stocks;1;British Columbia;2009;Super-Sankey
Energy Use;Industrial;193;British Columbia;2009;Super-Sankey
Energy Use;Transportation;349;British Columbia;2009;Super-Sankey
Crude Oil Production;Energy Production;6151;Canada;2009;Super-Sankey
NGL's Production;Energy Production;631;Canada;2009;Super-Sankey
Natural Gas Production;Energy Production;6229;Canada;2009;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;1644;Canada;2009;Super-Sankey
Total Coal Production;Energy Production;1388;Canada;2009;Super-Sankey
Energy Use;Agriculture;212;Canada;2009;Super-Sankey
Energy Use;Commercial;915;Canada;2009;Super-Sankey
Total Energy Inputs;Energy Exports;9916;Canada;2009;Super-Sankey
Energy Imports;Total Energy Inputs;3602;Canada;2009;Super-Sankey
Total Energy Inputs;To Other Provinces;0;Canada;2009;Super-Sankey
Total Use;Non-energy use;936;Canada;2009;Super-Sankey
Energy Use;Producer consumption;1301;Canada;2009;Super-Sankey
Energy Use;Public administration;126;Canada;2009;Super-Sankey
Energy Use;Residential;1369;Canada;2009;Super-Sankey
Stocks;Total Energy Inputs;251;Canada;2009;Super-Sankey
Energy Use;Industrial;2206;Canada;2009;Super-Sankey
Energy Use;Transportation;2538;Canada;2009;Super-Sankey
Crude Oil Production;Energy Production;60;Manitoba;2009;Super-Sankey
NGL's Production;Energy Production;0;Manitoba;2009;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;122;Manitoba;2009;Super-Sankey
Energy Use;Agriculture;19;Manitoba;2009;Super-Sankey
Energy Use;Commercial;43;Manitoba;2009;Super-Sankey
Total Energy Inputs;Energy Exports;1;Manitoba;2009;Super-Sankey
Energy Imports;Total Energy Inputs;1;Manitoba;2009;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Manitoba;2009;Super-Sankey
Total Use;Non-energy use;1;Manitoba;2009;Super-Sankey
Energy Use;Producer consumption;1;Manitoba;2009;Super-Sankey
Energy Use;Public administration;5;Manitoba;2009;Super-Sankey
Energy Use;Residential;49;Manitoba;2009;Super-Sankey
Total Energy Inputs;Stocks;1;Manitoba;2009;Super-Sankey
Energy Use;Industrial;57;Manitoba;2009;Super-Sankey
Energy Use;Transportation;84;Manitoba;2009;Super-Sankey
Natural Gas Production;Energy Production;9;New Brunswick;2009;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;12;New Brunswick;2009;Super-Sankey
Total Coal Production;Energy Production;4;New Brunswick;2009;Super-Sankey
Energy Use;Agriculture;3;New Brunswick;2009;Super-Sankey
Energy Use;Commercial;16;New Brunswick;2009;Super-Sankey
Total Energy Inputs;Energy Exports;1;New Brunswick;2009;Super-Sankey
Energy Imports;Total Energy Inputs;1;New Brunswick;2009;Super-Sankey
From Other Provinces;Total Energy Inputs;1;New Brunswick;2009;Super-Sankey
Total Use;Non-energy use;1;New Brunswick;2009;Super-Sankey
Energy Use;Producer consumption;1;New Brunswick;2009;Super-Sankey
Energy Use;Public administration;5;New Brunswick;2009;Super-Sankey
Energy Use;Residential;29;New Brunswick;2009;Super-Sankey
Total Energy Inputs;Stocks;1;New Brunswick;2009;Super-Sankey
Energy Use;Industrial;40;New Brunswick;2009;Super-Sankey
Energy Use;Transportation;55;New Brunswick;2009;Super-Sankey
Crude Oil Production;Energy Production;1;Newfoundland and Labrador;2009;Super-Sankey
Natural Gas Production;Energy Production;22;Newfoundland and Labrador;2009;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;133;Newfoundland and Labrador;2009;Super-Sankey
Energy Use;Agriculture;0;Newfoundland and Labrador;2009;Super-Sankey
Energy Use;Commercial;11;Newfoundland and Labrador;2009;Super-Sankey
Total Energy Inputs;Energy Exports;1;Newfoundland and Labrador;2009;Super-Sankey
Energy Imports;Total Energy Inputs;1;Newfoundland and Labrador;2009;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Newfoundland and Labrador;2009;Super-Sankey
Total Use;Non-energy use;1;Newfoundland and Labrador;2009;Super-Sankey
Energy Use;Producer consumption;1;Newfoundland and Labrador;2009;Super-Sankey
Energy Use;Public administration;6;Newfoundland and Labrador;2009;Super-Sankey
Energy Use;Residential;19;Newfoundland and Labrador;2009;Super-Sankey
Total Energy Inputs;Stocks;1;Newfoundland and Labrador;2009;Super-Sankey
Energy Use;Industrial;28;Newfoundland and Labrador;2009;Super-Sankey
Energy Use;Transportation;52;Newfoundland and Labrador;2009;Super-Sankey
Crude Oil Production;Energy Production;39;Northwest Territories;2009;Super-Sankey
Natural Gas Production;Energy Production;7;Northwest Territories;2009;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;1;Northwest Territories;2009;Super-Sankey
Energy Use;Agriculture;0;Northwest Territories;2009;Super-Sankey
Energy Use;Commercial;2;Northwest Territories;2009;Super-Sankey
Energy Imports;Total Energy Inputs;1;Northwest Territories;2009;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Northwest Territories;2009;Super-Sankey
Total Use;Non-energy use;1;Northwest Territories;2009;Super-Sankey
Energy Use;Producer consumption;1;Northwest Territories;2009;Super-Sankey
Energy Use;Public administration;0;Northwest Territories;2009;Super-Sankey
Energy Use;Residential;2;Northwest Territories;2009;Super-Sankey
Total Energy Inputs;Stocks;1;Northwest Territories;2009;Super-Sankey
Energy Use;Industrial;6;Northwest Territories;2009;Super-Sankey
Energy Use;Transportation;4;Northwest Territories;2009;Super-Sankey
Crude Oil Production;Energy Production;1;Nova Scotia;2009;Super-Sankey
NGL's Production;Energy Production;11;Nova Scotia;2009;Super-Sankey
Natural Gas Production;Energy Production;137;Nova Scotia;2009;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;5;Nova Scotia;2009;Super-Sankey
Total Coal Production;Energy Production;0;Nova Scotia;2009;Super-Sankey
Energy Use;Agriculture;3;Nova Scotia;2009;Super-Sankey
Energy Use;Commercial;20;Nova Scotia;2009;Super-Sankey
Total Energy Inputs;Energy Exports;1;Nova Scotia;2009;Super-Sankey
Energy Imports;Total Energy Inputs;1;Nova Scotia;2009;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Nova Scotia;2009;Super-Sankey
Total Use;Non-energy use;1;Nova Scotia;2009;Super-Sankey
Energy Use;Producer consumption;1;Nova Scotia;2009;Super-Sankey
Energy Use;Public administration;8;Nova Scotia;2009;Super-Sankey
Energy Use;Residential;38;Nova Scotia;2009;Super-Sankey
Total Energy Inputs;Stocks;1;Nova Scotia;2009;Super-Sankey
Energy Use;Industrial;26;Nova Scotia;2009;Super-Sankey
Energy Use;Transportation;68;Nova Scotia;2009;Super-Sankey
Energy Use;Agriculture;0;Nunavut;2009;Super-Sankey
Energy Use;Commercial;1;Nunavut;2009;Super-Sankey
Total Energy Inputs;Energy Exports;1;Nunavut;2009;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Nunavut;2009;Super-Sankey
Total Use;Non-energy use;0;Nunavut;2009;Super-Sankey
Energy Use;Public administration;0;Nunavut;2009;Super-Sankey
Energy Use;Residential;0;Nunavut;2009;Super-Sankey
Energy Use;Industrial;1;Nunavut;2009;Super-Sankey
Energy Use;Transportation;2;Nunavut;2009;Super-Sankey
Crude Oil Production;Energy Production;4;Ontario;2009;Super-Sankey
NGL's Production;Energy Production;137;Ontario;2009;Super-Sankey
Natural Gas Production;Energy Production;7;Ontario;2009;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;443;Ontario;2009;Super-Sankey
Energy Use;Agriculture;46;Ontario;2009;Super-Sankey
Energy Use;Commercial;355;Ontario;2009;Super-Sankey
Total Energy Inputs;Energy Exports;914;Ontario;2009;Super-Sankey
Energy Imports;Total Energy Inputs;1187;Ontario;2009;Super-Sankey
From Other Provinces;Total Energy Inputs;1594;Ontario;2009;Super-Sankey
Total Use;Non-energy use;234;Ontario;2009;Super-Sankey
Energy Use;Producer consumption;140;Ontario;2009;Super-Sankey
Energy Use;Public administration;25;Ontario;2009;Super-Sankey
Energy Use;Residential;525;Ontario;2009;Super-Sankey
Stocks;Total Energy Inputs;261;Ontario;2009;Super-Sankey
Energy Use;Industrial;554;Ontario;2009;Super-Sankey
Energy Use;Transportation;852;Ontario;2009;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;1;Prince Edward Island;2009;Super-Sankey
Energy Use;Agriculture;2;Prince Edward Island;2009;Super-Sankey
Energy Use;Commercial;2;Prince Edward Island;2009;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Prince Edward Island;2009;Super-Sankey
Total Use;Non-energy use;1;Prince Edward Island;2009;Super-Sankey
Energy Use;Producer consumption;1;Prince Edward Island;2009;Super-Sankey
Energy Use;Public administration;0;Prince Edward Island;2009;Super-Sankey
Energy Use;Residential;6;Prince Edward Island;2009;Super-Sankey
Total Energy Inputs;Stocks;1;Prince Edward Island;2009;Super-Sankey
Energy Use;Industrial;3;Prince Edward Island;2009;Super-Sankey
Energy Use;Transportation;10;Prince Edward Island;2009;Super-Sankey
Natural Gas Production;Energy Production;1;Quebec;2009;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;700;Quebec;2009;Super-Sankey
Energy Use;Agriculture;30;Quebec;2009;Super-Sankey
Energy Use;Commercial;157;Quebec;2009;Super-Sankey
Total Energy Inputs;Energy Exports;245;Quebec;2009;Super-Sankey
Energy Imports;Total Energy Inputs;1086;Quebec;2009;Super-Sankey
From Other Provinces;Total Energy Inputs;187;Quebec;2009;Super-Sankey
Total Use;Non-energy use;103;Quebec;2009;Super-Sankey
Energy Use;Producer consumption;125;Quebec;2009;Super-Sankey
Energy Use;Public administration;40;Quebec;2009;Super-Sankey
Energy Use;Residential;292;Quebec;2009;Super-Sankey
Stocks;Total Energy Inputs;2;Quebec;2009;Super-Sankey
Energy Use;Industrial;501;Quebec;2009;Super-Sankey
Energy Use;Transportation;482;Quebec;2009;Super-Sankey
Crude Oil Production;Energy Production;965;Saskatchewan;2009;Super-Sankey
NGL's Production;Energy Production;2;Saskatchewan;2009;Super-Sankey
Natural Gas Production;Energy Production;291;Saskatchewan;2009;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;13;Saskatchewan;2009;Super-Sankey
Total Coal Production;Energy Production;158;Saskatchewan;2009;Super-Sankey
Energy Use;Agriculture;54;Saskatchewan;2009;Super-Sankey
Energy Use;Commercial;46;Saskatchewan;2009;Super-Sankey
Total Energy Inputs;Energy Exports;1;Saskatchewan;2009;Super-Sankey
Energy Imports;Total Energy Inputs;1;Saskatchewan;2009;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Saskatchewan;2009;Super-Sankey
Total Use;Non-energy use;1;Saskatchewan;2009;Super-Sankey
Energy Use;Producer consumption;1;Saskatchewan;2009;Super-Sankey
Energy Use;Public administration;8;Saskatchewan;2009;Super-Sankey
Energy Use;Residential;47;Saskatchewan;2009;Super-Sankey
Total Energy Inputs;Stocks;1;Saskatchewan;2009;Super-Sankey
Energy Use;Industrial;103;Saskatchewan;2009;Super-Sankey
Energy Use;Transportation;170;Saskatchewan;2009;Super-Sankey
Natural Gas Production;Energy Production;2;Yukon;2009;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;1;Yukon;2009;Super-Sankey
Energy Use;Agriculture;0;Yukon;2009;Super-Sankey
Energy Use;Commercial;1;Yukon;2009;Super-Sankey
Total Energy Inputs;Energy Exports;1;Yukon;2009;Super-Sankey
Energy Imports;Total Energy Inputs;1;Yukon;2009;Super-Sankey
From Other Provinces;Total Energy Inputs;1;Yukon;2009;Super-Sankey
Total Use;Non-energy use;1;Yukon;2009;Super-Sankey
Energy Use;Producer consumption;1;Yukon;2009;Super-Sankey
